PID %CPU
1 0.0
2 0.0
3 0.0
5 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
15 0.0
16 0.0
17 0.0
18 0.0
20 0.0
21 0.0
22 0.0
23 0.0
25 0.0
26 0.0
27 0.0
28 0.0
29 0.0
30 0.0
31 0.0
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
42 0.0
46 0.0
47 0.0
48 0.0
49 0.0
65 0.0
66 0.0
67 0.0
68 0.0
69 0.0
70 0.0
71 0.0
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
80 0.0
81 0.0
82 0.0
83 0.0
90 0.0
91 0.0
104 0.0
105 0.0
108 0.0
109 0.0
157 0.0
160 0.0
181 0.0
183 0.0
184 0.0
215 0.0
218 0.0
219 0.0
242 0.0
343 0.0
344 0.0
460 0.0
546 0.0
547 0.0
550 0.0
553 0.0
556 0.0
558 0.0
559 0.0
562 0.0
566 0.0
568 0.0
586 0.0
612 0.0
642 0.0
643 0.0
668 0.0
671 0.0
747 0.6
748 0.0
756 0.0
794 0.0
993 0.0
1028 0.0
1174 0.0
1175 0.0
1323 0.0
1399 0.0
1476 0.0
1511 0.0
1646 0.0
1746 0.0
1762 0.0
1767 0.0
1809 0.0
1810 0.0
1816 0.0
1835 0.0
1836 0.0
1837 0.0
1838 0.0
1839 0.0
1874 0.0
1891 0.0
1892 0.0
1898 0.0
1900 0.0
1998 0.0
2009 0.0
2021 0.0
2045 0.0
2061 0.0
2063 0.0
2066 0.0
2085 0.0
2090 0.0
2099 0.0
2100 0.0
2102 0.0
2116 0.0
2122 0.0
2127 0.0
2137 0.0
2139 0.0
2143 0.0
2145 0.0
2146 0.8
2154 0.0
2155 0.0
2161 0.0
2172 0.0
2173 0.0
2177 0.0
2178 0.0
2179 0.0
2186 0.0
2187 0.0
2188 0.0
2202 0.0
2239 0.0
2245 0.0
2249 0.0
2294 0.0
2298 0.0
2299 0.1
2300 0.0
2301 0.0
2307 0.0
2318 0.0
2321 0.0
2331 0.0
2340 0.0
2345 0.0
2350 0.0
2353 0.0
2359 0.0
2374 0.0
2384 0.0
2407 0.0
2417 0.0
2419 0.0
2437 0.0
2487 0.0
2511 0.0
2517 0.0
2524 0.0
2528 0.0
2536 0.0
2554 0.0
2602 0.0
2612 0.0
2628 0.2
2635 0.0
2642 0.1
2650 0.0
2663 0.0
2892 0.0
2894 0.0
2895 0.0
2897 0.0
3248 0.0
3325 0.0
3341 0.0
3358 0.0
3572 0.0
3592 0.0
3610 0.0
3627 0.0
3628 0.0
3629 0.0
3630 0.0
PID %CPU
1 0.0
2 0.0
3 0.0
5 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
15 0.0
16 0.0
17 0.0
18 0.0
20 0.0
21 0.0
22 0.0
23 0.0
25 0.0
26 0.0
27 0.0
28 0.0
29 0.0
30 0.0
31 0.0
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
42 0.0
46 0.0
47 0.0
48 0.0
49 0.0
65 0.0
66 0.0
67 0.0
68 0.0
69 0.0
70 0.0
71 0.0
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
80 0.0
81 0.0
82 0.0
83 0.0
90 0.0
91 0.0
104 0.0
105 0.0
108 0.0
109 0.0
157 0.0
160 0.0
181 0.0
183 0.0
184 0.0
215 0.0
218 0.0
219 0.0
242 0.0
343 0.0
344 0.0
460 0.0
546 0.0
547 0.0
550 0.0
553 0.0
556 0.0
558 0.0
559 0.0
562 0.0
566 0.0
568 0.0
586 0.0
612 0.0
642 0.0
643 0.0
668 0.0
671 0.0
747 0.6
748 0.0
756 0.0
794 0.0
993 0.0
1028 0.0
1174 0.0
1175 0.0
1323 0.0
1399 0.0
1476 0.0
1511 0.0
1646 0.0
1746 0.0
1762 0.0
1767 0.0
1809 0.0
1810 0.0
1816 0.0
1835 0.0
1836 0.0
1837 0.0
1838 0.0
1839 0.0
1874 0.0
1891 0.0
1892 0.0
1898 0.0
1900 0.0
1998 0.0
2009 0.0
2021 0.0
2045 0.0
2061 0.0
2063 0.0
2066 0.0
2085 0.0
2090 0.0
2099 0.0
2100 0.0
2102 0.0
2116 0.0
2122 0.0
2127 0.0
2137 0.0
2139 0.0
2143 0.0
2145 0.0
2146 0.8
2154 0.0
2155 0.0
2161 0.0
2172 0.0
2173 0.0
2177 0.0
2178 0.0
2179 0.0
2186 0.0
2187 0.0
2188 0.0
2202 0.0
2239 0.0
2245 0.0
2249 0.0
2294 0.0
2298 0.0
2299 0.1
2300 0.0
2301 0.0
2307 0.0
2318 0.0
2321 0.0
2331 0.0
2340 0.0
2345 0.0
2350 0.0
2353 0.0
2359 0.0
2374 0.0
2384 0.0
2407 0.0
2417 0.0
2419 0.0
2437 0.0
2487 0.0
2511 0.0
2517 0.0
2524 0.0
2528 0.0
2536 0.0
2554 0.0
2602 0.0
2612 0.0
2628 0.2
2635 0.0
2642 0.1
2650 0.0
2663 0.0
2892 0.0
2894 0.0
2895 0.0
2897 0.0
3248 0.0
3325 0.0
3341 0.0
3358 0.0
3572 0.0
3592 0.0
3610 0.0
3627 0.0
3633 0.0
3634 0.0
3635 0.0
